Word,Frequency,PMI,R_Entropy,L_Entropy
月,18,80,2.8140154482997177,2.927451224964519
自,17,80,3.969815782426811,2.2359263506290326
皆,17,80,3.8521687236032816,3.906890595608518
船,17,80,3.418295834054489,3.25
守,17,80,3.277613436819116,2.7806390622295662
亦,17,80,3.1692486956952335,3.321928094887362
洲,17,80,2.75,3.6901165175936654
镇,17,80,2.6464393446710153,3.5
百,16,80,3.125,2.875
数,15,80,3.1395722619867223,2.606238928653389
五,15,80,2.8159220638351665,2.792481250360578
小,15,80,2.7395722619867224,2.8962915290459277
险,15,80,2.5,3.373557262275185
能,14,80,3.6644977792004623,2.2221915755066783
深,14,80,3.3787834934861767,2.5503407095463886
固,14,80,3.121928094887362,2.7516291673878226
宽,14,80,2.584962500721156,2.4040097573248604
路,14,80,2.321928094887362,2.495602923729013
得,13,80,3.3927474104487847,3.180832987205441
所,13,80,3.334679141051595,3.334679141051595
通,13,80,3.2516291673878226,3.4182958340544896
击,13,80,2.8453509366224368,3.5465935642949384
攻,13,80,2.4040097573248604,2.353533948577482
重,13,80,2.287783719941071,3.0269868333592873
高,12,80,3.0957952550009344,2.8464393446710154
约,12,80,2.8553885422075336,3.277613436819116
时,12,80,2.807354922057604,3.277613436819116
新,12,80,2.3553885422075336,2.1280852788913944
两,12,80,2.292481250360578,2.75
陆,12,80,2.0464393446710156,3.121928094887362
与,11,80,3.459431618637298,3.0
屯,11,80,2.845350936622437,2.94770277922009
八,11,80,2.8453509366224368,3.121928094887362
立,11,80,2.721928094887362,2.6416041678685933
舟,11,80,2.6416041678685933,2.584962500721156
襄,11,80,2.4040097573248604,2.4056390622295662
要,11,80,2.1280852788913944,2.7321588913645707
安,11,80,2.121928094887362,3.0957952550009344
太,11,80,2.1180782093497093,2.2359263506290326
置,11,80,2.058813890331201,2.3685225277282065
如,10,80,3.1219280948873624,2.2359263506290326
后,10,80,3.0,2.94770277922009
国,10,80,2.8464393446710154,2.725480556997868
临,10,80,2.6464393446710153,3.169925001442312
最,10,80,2.4193819456463714,2.94770277922009
当,10,80,2.2810361125534233,2.584962500721156
梁,10,80,2.1609640474436813,2.6464393446710157
炮台,22,219.61764705882354,3.321928094887362,3.2135132560090707
十里,17,96.55603448275862,2.5216406363433186,3.381580488309164
对面,15,336.015,2.4040097573248604,3.3927474104487847
武昌,13,945.4967532467532,2.75,3.169925001442312
金陵,11,676.9532967032967,2.8464393446710154,2.6416041678685933
府城,11,234.67714285714285,3.121928094887362,2.2359263506290326
荆州,10,248.0730897009967,3.169925001442312,2.807354922057604
可达,10,222.23214285714286,3.321928094887362,2.921928094887362
焦山,10,159.55128205128204,2.94770277922009,2.584962500721156
三十,10,82.17534849596478,2.2464393446710154,2.721928094887362
